Departure_2011,Ticket_class_description,Departure,Destination,Paid_fare,Supplier_name,Directorate
February,99692,UK,alaska,1000,aleutians west census area,CRB
February,99752,UK,alaska,200,northwest arctic,CRB
February,99612,UK,alaska,500,aleutians east,CRB
February,99559,UK,alaska,4,bethel,CRB
January,99651,UK,alaska,250,bethel,IPS
January,96756,UK,hawaii,250,kauai,IPS
January,96751,UK,hawaii,500,kauai,IPS
January,99549,UK,alaska,5000,lake and peninsula,IPS
January,99576,UK,alaska,275,dillingham,IPS
February,96707,UK,hawaii,2800,honolulu,IPS
January,96712,UK,hawaii,900,honolulu,IPS
January,96706,UK,hawaii,400,honolulu,IPS
January,96797,UK,hawaii,1499,honolulu,IPS
January,96789,UK,hawaii,3100,honolulu,IPS
February,96818,UK,hawaii,300,honolulu,IPS
January,96701,UK,hawaii,2340,honolulu,IPS
January,96717,UK,hawaii,300,honolulu,IPS
January,96819,UK,hawaii,13224,honolulu,IPS
January,96744,UK,hawaii,2900,honolulu,IPS
February,96817,UK,hawaii,6550,honolulu,IPS
January,96813,UK,hawaii,16250,honolulu,IPS
January,96814,UK,hawaii,7283,honolulu,IPS
January,96826,UK,hawaii,1120,honolulu,IPS
January,96815,UK,hawaii,8750,honolulu,IPS
January,96822,UK,hawaii,3910,honolulu,IPS
January,96816,UK,hawaii,4513,honolulu,IPS
January,96821,UK,hawaii,8500,honolulu,IPS
January,96734,UK,hawaii,7750,honolulu,IPS
January,96795,UK,hawaii,7200,honolulu,IPS
January,96825,UK,hawaii,13630,honolulu,IPS
January,96761,UK,hawaii,7600,maui,IPS
January,96793,UK,hawaii,5650,maui,IPS
February,96753,UK,hawaii,5550,maui,IPS
January,96708,UK,hawaii,800,maui,IPS
January,96740,UK,hawaii,960,hawaii,IPS
January,96704,UK,hawaii,250,hawaii,IPS
January,96755,UK,hawaii,1000,hawaii,IPS
January,96738,UK,hawaii,5400,hawaii,IPS
January,96743,UK,hawaii,5000,hawaii,IPS
January,96776,UK,hawaii,500,hawaii,IPS
January,96720,UK,hawaii,102,hawaii,IPS
January,99603,UK,alaska,1250,kenai peninsula,IPS
January,99610,UK,alaska,2425,kenai peninsula,IPS
January,99611,UK,alaska,3066,kenai peninsula,IPS
January,99669,UK,alaska,3088,kenai peninsula,IPS
January,99502,UK,alaska,6500,anchorage,IPS
February,99517,UK,alaska,8125,anchorage,IPS
January,99503,UK,alaska,70883,bethel,IPS
January,99515,UK,alaska,17075,anchorage,IPS
January,99518,UK,alaska,1000,anchorage,IPS
January,99510,UK,alaska,26750,north slope,IPS
January,99501,UK,alaska,59766,anchorage,IPS
January,99507,UK,alaska,5839,anchorage,IPS
January,99508,UK,alaska,21985,anchorage,IPS
January,99516,UK,alaska,12890,anchorage,IPS
January,99504,UK,alaska,1461,anchorage,IPS
January,99605,UK,alaska,430,kenai peninsula,IPS
January,99577,UK,alaska,3525,anchorage,IPS
January,99654,UK,alaska,701,matanuska-susitna,IPS
January,99519,UK,alaska,3500,north slope,IPS
January,99567,UK,alaska,2300,anchorage,IPS
January,99664,UK,alaska,1000,kenai peninsula,IPS
February,99645,UK,alaska,7125,matanuska-susitna,IPS
March,99706,UK,alaska,4525,southeast fairbanks,IPS
January,99709,UK,alaska,17740,fairbanks north star,IPS
